Trieste la contesa - Trieste la contesa	aggressiveness-anger_anticipation
063139 - S1E2	aggressiveness-anger_anticipation
063139 - S1E1	aggressiveness-anger_anticipation
063139 - S1E4	aggressiveness-anger_anticipation
063139 - S1E5	aggressiveness-anger_anticipation
063139 - S1E3	aggressiveness-anger_anticipation
Muri - Muri	aggressiveness-anger_anticipation
Trieste la contesa - Trieste la contesa	aggressiveness-anticipation_anger
Muri - Muri	aggressiveness-anticipation_anger
El Sicario Room 164 - El Sicario - Room 164	anxiety-anticipation_fear
Attentato al Papa - Attentato al Papa - Puntata 1	anxiety-anticipation_fear
Attentato al Papa - Attentato al Papa - Puntata 2	anxiety-anticipation_fear
Felicia Impastato - Felicia Impastato	anxiety-anticipation_fear
La rivoluzione francese - La rivoluzione francese: S1E2 La Costituzione	anxiety-anticipation_fear
La rivoluzione francese - La rivoluzione francese: S1E1 La Bastiglia	anxiety-anticipation_fear
La rivoluzione francese - La rivoluzione francese: S1E3 I processi	anxiety-anticipation_fear
La rivoluzione francese - La rivoluzione francese: S1E4 Il terrore	anxiety-anticipation_fear
Delitto e castigo - Delitto e castigo: S1E1	anxiety-anticipation_fear
Delitto e castigo - Delitto e castigo: S1E2	anxiety-anticipation_fear
Delitto e castigo - Delitto e castigo: S1E3	anxiety-anticipation_fear
Delitto e castigo - Delitto e castigo: S1E4	anxiety-anticipation_fear
Delitto e castigo - Delitto e castigo: S1E5	anxiety-anticipation_fear
Le Mille e una Notte - Aladino e Sherazade - Le Mille e una Notte - Aladino e Sherazade - E2	anxiety-anticipation_fear
Le Mille e una Notte - Aladino e Sherazade - Le Mille e una Notte - Aladino e Sherazade - E1	anxiety-anticipation_fear
La porta rossa - La porta rossa - S1E1	anxiety-anticipation_fear
La porta rossa - La porta rossa - S1E4	anxiety-anticipation_fear
La porta rossa - La porta rossa - S1E3	anxiety-anticipation_fear
La porta rossa - La porta rossa - S1E2	anxiety-anticipation_fear
La porta rossa - La Porta Rossa - S1E6	anxiety-anticipation_fear
La porta rossa - La porta rossa - S1E5	anxiety-anticipation_fear
La porta rossa - La porta rossa - S1E7	anxiety-anticipation_fear
La porta rossa - La Porta Rossa - S1E10	anxiety-anticipation_fear
La porta rossa - La Porta Rossa - S1E11	anxiety-anticipation_fear
La porta rossa - La porta rossa - S1E8	anxiety-anticipation_fear
La porta rossa - La Porta Rossa - S1E9	anxiety-anticipation_fear
La porta rossa - La Porta Rossa - S1E12	anxiety-anticipation_fear
La porta rossa - La Porta Rossa S2E2	anxiety-anticipation_fear
La porta rossa - La Porta Rossa S2E1	anxiety-anticipation_fear
La porta rossa - La Porta Rossa S2E4	anxiety-anticipation_fear
La porta rossa - La Porta Rossa - S2E7	anxiety-anticipation_fear
La porta rossa - La Porta Rossa - S2E6	anxiety-anticipation_fear
La porta rossa - La Porta Rossa - S2E5	anxiety-anticipation_fear
La porta rossa - La Porta Rossa S2E3	anxiety-anticipation_fear
La porta rossa - La Porta Rossa - S2E10	anxiety-anticipation_fear
La porta rossa - La Porta Rossa - S2E9	anxiety-anticipation_fear
La porta rossa - La Porta Rossa - S2E8	anxiety-anticipation_fear
La porta rossa - La Porta Rossa - S2E11	anxiety-anticipation_fear
La porta rossa - La Porta Rossa - S2E12	anxiety-anticipation_fear
Racconti fantastici - Racconti fantastici - S1E3	anxiety-anticipation_fear
Racconti fantastici - Racconti fantastici - S1E2	anxiety-anticipation_fear
Racconti fantastici - Racconti fantastici - S1E1	anxiety-anticipation_fear
Racconti fantastici - Racconti fantastici - S1E4	anxiety-anticipation_fear
Il Generale Della Rovere - Il Generale Della Rovere S1E2	anxiety-anticipation_fear
Il Generale Della Rovere - Il Generale Della Rovere - E1	anxiety-anticipation_fear
Il ritorno di Casanova - Il ritorno di Casanova - Puntata 1	anxiety-anticipation_fear
Il ritorno di Casanova - Il ritorno di Casanova - Puntata 2	anxiety-anticipation_fear
Naso di cane - Naso di cane: S1E1	anxiety-anticipation_fear
Naso di cane - Naso di cane: S1E3	anxiety-anticipation_fear
Naso di cane - Naso di cane: S1E2	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E1	anxiety-anticipation_fear
Non uccidere - Non uccidere S2E3	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E2	anxiety-anticipation_fear
Non uccidere - Non uccidere S2E6	anxiety-anticipation_fear
Non uccidere - Non uccidere S2E4	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E7	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E8	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E9	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E10	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E5	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E12	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E11	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E13	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E15	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E14	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E16	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E17	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E18	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E20	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E21	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E19 	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E22	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E24	anxiety-anticipation_fear
Non uccidere - Non uccidere - S2E23	anxiety-anticipation_fear
Non uccidere - Non uccidere - S1E4	anxiety-anticipation_fear
Non uccidere - Non uccidere - S1E2	anxiety-anticipation_fear
Non uccidere - Non Uccidere - S1E5	anxiety-anticipation_fear
Non uccidere - Non uccidere - S1E3	anxiety-anticipation_fear
Non uccidere - Non uccidere - S1E1	anxiety-anticipation_fear
Non uccidere - Non Uccidere - S1E6	anxiety-anticipation_fear
Non uccidere - Non Uccidere - S1E8	anxiety-anticipation_fear
Non uccidere - Non Uccidere - S1E7	anxiety-anticipation_fear
Non uccidere - Non Uccidere - S1E9	anxiety-anticipation_fear
Non uccidere - Non Uccidere - S1E10	anxiety-anticipation_fear
Non uccidere - Non Uccidere - S1E11	anxiety-anticipation_fear
Non uccidere - Non Uccidere - S1E12	anxiety-anticipation_fear
Miss Sarajevo - Miss Sarajevo	anxiety-anticipation_fear
Agatha Christie vs Hercule Poirot - Agatha Christie vs Hercule Poirot	anxiety-anticipation_fear
