aggressiveness-anger_anticipation	7
aggressiveness-anticipation_anger	2
anxiety-anticipation_fear	88
awe-fear_surprise	132
contempt-anger_disgust	2
curiosity-surprise_trust	49
delight-joy_surprise	117
despair-fear_sadness	20
disapproval-sadness_surprise	64
dominance-anger_trust	2
envy-anger_sadness	21
envy-sadness_anger	20
guilt-fear_joy	73
guilt-joy_fear	73
hope-anticipation_trust	51
hope-trust_anticipation	52
love-joy_trust	72
morbidness-disgust_joy	70
optimism-anticipation_joy	24
outrage-anger_surprise	46
pessimism-anticipation_sadness	20
pessimism-sadness_anticipation	20
pride-anger_joy	72
remorse-disgust_sadness	20
sentimentality-sadness_trust	20
sentimentality-trust_sadness	20
shame-disgust_fear	88
submission-fear_trust	88
unbelief-disgust_surprise	44
unbelief-surprise_disgust	47
