"Informazioni cronologiche","What is the highest degree or level of school you have completed? ","Age range:","Would do you describe yourself as a man, as a woman or in any other way?","Are you a native English speaker?","Please, rate your written English skills on a scale from 1 (""I barely understand it"") to 5 (""I perfectly understand it"")","Please consider the following metaphorical sentence/s

    DIPLOMACY IS WAR

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts diplomacy and war, creating a new metaphorical concept diplomacy-war.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    conflict: 0.888
    bad thing: 0.88
    fight: 0.865
    negotiation: 0.865
    fighting between countries: 0.859
    battle: 0.858
    not peace: 0.853
    bridge differences: 0.853","Please consider the following metaphorical sentence/s

    INSTITUTION IS A MACHINE
    GOVERNMENT INSTITUTION IS A MACHINE
    EFFECTIVE GOVERNMENT INSTITUTION IS A WELL-FUNCTIONING MACHINE

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts institution and machine, creating a new metaphorical concept institution-machine.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    wash dishes: 0.908
    wash clothes: 0.908
    wash car: 0.908
    wash dirty clothes: 0.908
    dispense snacks: 0.878
    dispense popcorn: 0.878
    dispense cigarettes: 0.878
    establishment: 0.878","Please consider the following metaphorical sentence/s

    AMOUNT OF STATE IS SIZE OF OBJECT

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts state and size, creating a new metaphorical concept state-size.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    how big or small: 0.898
    magnitude: 0.883
    government: 0.855
    not bigness: 0.826
    important: 0.825
    political unit: 0.819
    attribute: 0.817
    change magnitude: 0.816","Please consider the following metaphorical sentence/s

    COMMUNICATING IS POINTING

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts communication and pointing, creating a new metaphorical concept communication-pointing.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    sender and receiver: 0.866
    gesturing: 0.856
    connection: 0.85
    act: 0.815
    e mail: 0.81
    cellphone: 0.804
    satelite: 0.804
    phone: 0.801","Please consider the following metaphorical sentence/s

    PHASE OF AN ELECTION IS LEG IN A RACE
    LOSING AN ELECTION IS LOSING A RACE
    ELECTION IS A RACE
    WINNING AN ELECTION IS WINNING A RACE

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts election and race, creating a new metaphorical concept election-race.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    vote: 0.899
    contest: 0.859
    compete: 0.858
    choice: 0.856
    predestination: 0.838
    significant in genetics: 0.829
    competition in: 0.82
    group: 0.804","Please consider the following metaphorical sentence/s

    MAKING RELATED IS CAUSING CONTACT

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts relationship and causation, creating a new metaphorical concept relationship-causation.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    relation: 0.898
    ending in heartbreak: 0.838
    state: 0.811
    not affair: 0.799
    last for year: 0.793
    last for long time: 0.793
    music: 0.757
    origin: 0.755","Please consider the following metaphorical sentence/s

    NATURE IS AN AGENT

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts natural_process and agent, creating a new metaphorical concept natural_process-agent.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    broker: 0.849
    representative: 0.845
    substance: 0.817
    official: 0.816
    book ticket: 0.815
    book nightclub act: 0.815
    causal agent: 0.804
    process: 0.787","Please consider the following metaphorical sentence/s

    SOCIAL GROUPS ARE BUILDINGS

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts social_group and building, creating a new metaphorical concept social_group-building.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    building materials: 0.913
    architect: 0.875
    tradesmen: 0.871
    shelter: 0.864
    man made: 0.855
    housing: 0.852
    weather storm: 0.848
    group: 0.822","Please consider the following metaphorical sentence/s

    CRITICIZING IS ATTACKING

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts criticizing and attacking, creating a new metaphorical concept criticizing-attacking.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    advancing into battle: 0.767
    metal rod: 0.758
    action on object: 0.746
    not praise: 0.735
    act: 0.71
    weapon: 0.679","Please consider the following metaphorical sentence/s

    TIME IS A COMMODITY

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts time and commodity, creating a new metaphorical concept time-commodity.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    time period: 0.88
    moment: 0.878
    linear: 0.874
    running: 0.871
    finite: 0.851
    age: 0.843
    endless: 0.84
    object: 0.83","Please, provide an assessment of how much the metaphors in your survey were hard to grasp or difficult to understand, on a scale from 1 (not difficult at all) to 10 (extremely difficult) ","How many metaphors in your survey were hard to grasp or difficult to understand? "
"2024/05/15 12:30:22 PM EEST","Bachelor's degree","22 - 34","As a woman","No","4","10","1","7","5","9","3","1","2","3","7","8","6"
"2024/05/15 12:35:58 PM EEST","Bachelor's degree","22 - 34","As a man","No","3","4","1","3","7","8","2","1","1","1","8","2","2"
