"Informazioni cronologiche","What is the highest degree or level of school you have completed? ","Age range:","Would do you describe yourself as a man, as a woman or in any other way?","Are you a native English speaker?","Please, rate your written English skills on a scale from 1 (""I barely understand it"") to 5 (""I perfectly understand it"")","Please consider the following metaphorical sentence/s

    ECONOMY IS A MACHINE

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts economy and machine, creating a new metaphorical concept economy-machine.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    wash dishes: 0.908
    wash clothes: 0.908
    wash car: 0.908
    wash dirty clothes: 0.908
    dispense snacks: 0.878
    dispense popcorn: 0.878
    dispense cigarettes: 0.878
    frugality: 0.864","Please consider the following metaphorical sentence/s

    CATEGORIES ARE BOUNDED REGIONS

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts category and region, creating a new metaphorical concept category-region.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    location: 0.838
    concept: 0.805
    state: 0.8
    site: 0.774
    tangible thing: 0.753
    mathematics: 0.75
    historical: 0.748
    anatomy: 0.747","Please consider the following metaphorical sentence/s

    COMMUNICATING IS GUIDING

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts communication and guiding, creating a new metaphorical concept communication-guiding.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    sender and receiver: 0.866
    connection: 0.85
    act: 0.815
    e mail: 0.81
    cellphone: 0.804
    satelite: 0.804
    phone: 0.801
    directed movement: 0.794","Please consider the following metaphorical sentence/s

    IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS PHYSICAL BURDEN

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts change_of_state and burden, creating a new metaphorical concept change_of_state-burden.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    change: 0.933
    charge: 0.849
    difference: 0.826
    idea: 0.815
    concern: 0.805
    replace: 0.774
    music: 0.753
    unpleasant: 0.752","Please consider the following metaphorical sentence/s

    MORAL CORRUPTION IS A DESTRUCTIVE FORCE
    CORRUPTION IS A DESTRUCTIVE NATURAL PROCESS

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts corruption and force, creating a new metaphorical concept corruption-force.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    immorality: 0.875
    degradation: 0.854
    decay: 0.852
    influence: 0.85
    thrust: 0.846
    act: 0.819
    intensity: 0.819
    organization: 0.813","Please consider the following metaphorical sentence/s

    MIND IS A COMPUTER

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts mind and computer, creating a new metaphorical concept mind-computer.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    computing: 0.916
    word processing: 0.909
    thinking: 0.906
    subjective: 0.894
    cybernate: 0.885
    desktop: 0.884
    computing information: 0.882
    calculating: 0.872","Please consider the following metaphorical sentence/s

    POVERTY IS A PLANT

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts poverty and plants, creating a new metaphorical concept poverty-plants.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    poisonous: 0.904
    garden: 0.88
    flower in sun: 0.869
    purple in color: 0.868
    financial condition: 0.865
    produce oxygen: 0.864
    good for environment: 0.863
    edible: 0.863","Please consider the following metaphorical sentence/s

    TIME IS A SUBSTANCE

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts time and substance, creating a new metaphorical concept time-substance.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    time period: 0.88
    moment: 0.878
    linear: 0.874
    running: 0.871
    finite: 0.851
    age: 0.843
    endless: 0.84
    part: 0.816","Please consider the following metaphorical sentence/s

    DIPLOMACY IS WAR

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts diplomacy and war, creating a new metaphorical concept diplomacy-war.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    conflict: 0.888
    bad thing: 0.88
    fight: 0.865
    negotiation: 0.865
    fighting between countries: 0.859
    battle: 0.858
    not peace: 0.853
    bridge differences: 0.853","Please consider the following metaphorical sentence/s

    GUN CONTROL LEGISLATION IS PHYSICAL RESTRAINT
    LAWS ARE PHYSICAL RESTRAINTS

In order to understand the metaphor, it is necessary somehow to creatively combine the meaning of the concepts law and restraints, creating a new metaphorical concept law-restraints.
Please rate on a scale between 1 (worst) and 10 (best) if, overall, the following features associated to the new metaphorical concept make sense to understand its metaphorical meaning.

    legal: 0.835
    obligatory rule of conduct: 0.828
    concept: 0.82
    ratified into being bill: 0.816
    allow states to exicute people: 0.808
    learned profession: 0.805
    restriction: 0.795
    result oppression: 0.795","Please, provide an assessment of how much the metaphors in your survey were hard to grasp or difficult to understand, on a scale from 1 (not difficult at all) to 10 (extremely difficult) ","How many metaphors in your survey were hard to grasp or difficult to understand? "
"2024/05/15 12:30:03 PM EEST","Bachelor's degree","22 - 34","As a woman","No","4","3","7","8","4","7","8","9","6","8","8","7","5"
"2024/05/15 12:30:07 PM EEST","Bachelor's degree","22 - 34","As a man","No","4","8","5","9","7","9","8","7","9","8","7","7","1"
